x,y,h,w,c_x,c_y,class
286.74426,11.450114,447.51816,142.22806,357,235,3
286.48703,11.971321,447.41867,140.86551,356,235,3
286.05414,11.729994,449.51526,142.69156,357,236,3
287.0309,12.161922,450.4454,141.72217,357,237,3
287.51416,12.430773,447.54208,142.15201,358,236,3
285.37784,11.004052,449.59433,143.79349,357,235,3
288.21384,13.525457,445.9684,139.68912,358,236,3
287.99826,9.68924,451.6811,142.0228,359,235,3
289.08447,11.448584,448.88574,139.14337,358,235,3
288.36765,13.494315,448.4445,139.60587,358,237,3
287.63583,12.253246,451.49402,142.51904,358,238,3
287.49518,13.043933,448.86185,142.2461,358,237,3
287.49817,14.469924,450.38104,141.89612,358,239,3
289.11545,12.946286,450.74936,141.59464,359,238,3
290.3738,15.311408,446.24936,139.86423,360,238,3
289.36646,13.070569,450.11447,140.93378,359,238,3
291.0198,12.72284,449.20447,139.33191,360,237,3
291.1415,12.00923,449.931,139.0975,360,236,3
291.2082,11.493788,449.7222,140.14581,361,236,3
289.8894,11.343713,450.59464,141.38007,360,236,3
289.83594,12.035508,448.89987,141.2854,360,236,3
288.05118,12.13613,449.51938,142.53018,359,236,3
290.47842,12.566228,450.593,140.69131,360,237,3
291.40234,11.482687,450.46616,139.82056,361,236,3
289.81213,12.663546,447.82907,140.35541,359,236,3
292.48978,13.734899,448.06808,137.31406,361,237,3
289.36072,11.719351,449.68875,141.43323,360,236,3
289.11957,12.831516,448.8984,141.9104,360,237,3
291.33005,12.954998,449.97318,140.45712,361,237,3
289.0512,13.246779,449.56952,141.6835,359,238,3
288.55536,14.038968,446.99033,141.2732,359,237,3
289.1679,12.450285,449.9222,142.30109,360,237,3
290.11188,14.106989,447.6284,138.57379,359,237,3
290.0005,17.15857,441.9328,138.58517,359,238,3
288.839,13.891854,446.1432,139.74622,358,236,3
286.49048,17.511091,443.6708,141.48096,357,239,3
286.37265,17.08311,442.31485,140.02371,356,238,3
287.23425,15.754738,442.99942,139.06671,356,237,3
288.39932,14.410486,445.02426,138.09375,357,236,3
289.6841,15.780373,444.32147,137.33841,358,237,3
289.8097,14.908719,444.04083,137.5968,358,236,3
288.7248,14.229441,443.51328,137.44498,357,235,3
288.98297,11.984639,442.97357,138.37149,358,233,3
289.89917,12.224693,444.35828,136.6947,358,234,3
287.42453,11.002278,445.7473,139.11392,356,233,3
287.14194,6.105566,449.13974,139.54633,356,230,3
286.09448,5.844226,449.56503,140.59625,356,230,3
289.08575,7.2448397,448.99695,137.96259,358,231,3
290.82806,9.364629,445.0095,136.25076,358,231,3
289.40326,9.087453,445.4135,137.29706,358,231,3
286.6812,7.0255566,447.13895,140.9462,357,230,3
288.47336,7.570839,445.69156,140.44601,358,230,3
287.77298,5.5317593,447.6635,139.56705,357,229,3
288.2561,9.788275,443.77255,137.66568,357,231,3
290.576,6.873851,445.80838,137.25214,359,229,3
289.07336,9.080687,443.7625,136.78839,357,230,3
289.8299,7.781024,444.7398,136.18423,357,230,3
288.77252,7.6857233,447.1359,136.4524,356,231,3
289.10983,9.592824,446.00934,136.51154,357,232,3
288.67557,8.042994,447.00742,137.64932,357,231,3
290.1889,10.076137,442.2184,136.02332,358,231,3
290.58246,8.389106,445.40576,136.02768,358,231,3
289.31015,8.8062,443.49832,135.87698,357,230,3
289.09583,9.608574,446.83185,136.46204,357,233,3
286.46747,9.65857,446.30066,139.3183,356,232,3
287.607,7.884779,446.76703,138.01056,356,231,3
288.86896,10.331125,443.50623,137.99225,357,232,3
290.0056,10.721383,441.62604,135.88422,357,231,3
290.59058,10.4139805,439.90738,135.66364,358,230,3
286.76163,9.865708,445.65427,138.51395,356,232,3
284.69833,11.643276,441.34122,136.07748,352,232,3
284.4765,11.811032,444.905,137.69275,353,234,3
287.20306,10.677538,446.40518,136.7218,355,233,3
286.05945,12.799931,444.689,137.04681,354,235,3
287.19592,10.515175,447.443,137.61728,356,234,3
286.05753,9.679699,445.84662,138.28815,355,232,3
288.2617,10.39228,445.9265,135.97687,356,233,3
287.90234,13.269196,441.49377,136.89102,356,234,3
288.46918,11.5469885,441.7572,134.66238,355,232,3
290.2569,11.029673,442.58676,134.56604,357,232,3
289.26257,9.788833,442.48215,135.34418,356,231,3
286.42358,7.716565,446.80157,137.9306,355,231,3
288.5133,9.822435,445.6692,135.60641,356,232,3
287.0437,9.272947,445.93103,137.57019,355,232,3
287.85547,9.977517,444.30722,136.86957,356,232,3
286.07742,11.38557,442.16602,138.1694,355,232,3
287.97617,14.697762,440.31378,139.50311,357,234,3
290.65494,17.18369,437.69254,135.32944,358,236,3
290.41357,16.958456,441.26047,137.54434,359,237,3
290.12732,16.9594,441.2799,137.91925,359,237,3
289.75903,16.26134,441.74548,137.05429,358,237,3
288.9664,15.102396,443.84143,137.14001,357,237,3
290.81866,17.914139,439.54517,136.13736,358,237,3
290.48856,19.080719,440.76193,137.09396,359,239,3
288.96426,16.672798,445.27924,137.11514,357,239,3
291.38058,18.392143,444.5738,136.34976,359,240,3
291.2018,13.992991,450.15506,136.70706,359,239,3
290.8485,17.092953,447.52716,135.53024,358,240,3
291.54947,15.425577,449.07294,135.64847,359,239,3
291.3272,14.966941,447.1932,136.76062,359,238,3
290.62393,15.033474,447.56076,135.95053,358,238,3
290.1334,16.406307,446.2775,136.50116,358,239,3
291.54453,15.526457,448.23438,136.031,359,239,3
289.74786,16.093197,448.4907,138.57513,359,240,3
290.3533,15.75923,445.68405,137.35294,359,238,3
290.1384,16.568842,446.05713,138.65897,359,239,3
289.52594,14.557271,448.91928,138.90839,358,239,3
289.2799,16.384249,446.63956,139.50665,359,239,3
289.38632,16.392502,446.6549,139.73111,359,239,3
288.7795,15.388541,445.75598,141.43713,359,238,3
289.02368,16.222944,445.55634,139.47113,358,239,3
289.49786,14.944482,447.59268,138.06049,358,238,3
289.06976,16.676773,447.00006,138.71344,358,240,3
290.94363,17.786665,444.83627,136.62378,359,240,3
290.5189,17.50125,444.22324,136.50476,358,239,3
290.12036,18.37718,445.14313,136.5445,358,240,3
290.5643,18.614674,444.01678,135.81848,358,240,3
290.15842,16.924725,447.88046,138.40909,359,240,3
287.50217,18.315426,444.16446,140.23898,357,240,3
289.9429,17.849506,443.59714,138.33609,359,239,3
290.54553,15.844374,447.4006,137.4151,359,239,3
290.91068,14.083772,447.5348,137.17953,359,237,3
290.53775,16.2963,446.63306,138.01059,359,239,3
289.18866,14.072528,449.15952,139.4256,358,238,3
