x,y,h,w,c_x,c_y,class
334.32098,43.475117,218.84688,73.17227,370,152,8
333.98035,43.91107,221.17667,73.968994,370,154,8
333.47592,43.894707,221.42166,74.23544,370,154,8
334.14615,43.851562,221.33282,73.544556,370,154,8
334.81845,43.480854,220.95885,73.10773,371,153,8
335.16974,44.65161,218.93515,72.33179,371,154,8
333.87805,43.78015,221.03311,73.84213,370,154,8
333.78265,44.06782,220.41634,74.08981,370,154,8
334.7011,44.056942,219.926,72.704285,371,154,8
334.55948,43.23301,221.39716,73.119995,371,153,8
334.67746,43.467236,220.16716,72.4725,370,153,8
334.28387,43.83719,221.87845,73.5372,371,154,8
333.49472,43.616844,220.57336,74.22974,370,153,8
333.78918,43.92861,218.12708,73.67462,370,152,8
334.06195,43.723328,217.92056,73.381744,370,152,8
333.57147,43.94075,221.28255,74.4957,370,154,8
334.33014,44.499165,218.9583,73.151215,370,153,8
334.2064,43.943996,219.6076,73.26895,370,153,8
334.4735,43.544827,217.40497,73.07486,371,152,8
334.99847,43.69021,221.23392,72.26941,371,154,8
334.31152,43.273808,222.11343,73.18393,370,154,8
334.222,43.95369,219.74391,73.267,370,153,8
334.08206,43.086132,220.27739,73.47275,370,153,8
333.82693,43.805164,221.895,73.96567,370,154,8
335.0861,43.25333,220.59668,71.84683,371,153,8
334.94788,43.674953,221.8818,71.61334,370,154,8
333.98633,44.031208,219.85744,73.52191,370,153,8
334.5161,44.35076,220.0383,72.52734,370,154,8
333.68347,42.68822,219.76717,73.39392,370,152,8
334.56708,43.11502,223.3714,72.98831,371,154,8
334.22116,43.183372,220.34348,73.158264,370,153,8
335.27765,43.778778,217.57684,72.51077,371,152,8
333.88434,42.908527,218.50749,73.79382,370,152,8
334.09848,43.635735,220.26709,73.07828,370,153,8
335.20996,42.692535,221.61319,71.443634,370,153,8
334.0106,43.547924,222.25935,73.388855,370,154,8
333.93103,43.50707,223.7306,72.7052,370,155,8
334.15744,43.70645,220.19443,72.82526,370,153,8
334.68036,42.643097,221.18982,72.594055,370,153,8
334.28046,43.001778,221.202,72.819824,370,153,8
334.2259,42.70629,220.91403,72.39282,370,153,8
334.56604,43.417004,220.59514,72.49039,370,153,8
333.6657,43.602196,217.51321,74.017334,370,152,8
333.76263,44.408535,220.02957,74.18677,370,154,8
334.9023,44.02409,218.98155,72.37485,371,153,8
334.5714,43.584675,219.6468,72.28714,370,153,8
334.1123,43.2881,221.38203,73.12305,370,153,8
333.9349,43.171055,220.4469,73.372986,370,153,8
333.9215,43.645176,219.0849,73.51962,370,153,8
334.19275,43.487972,220.7138,73.26669,370,153,8
333.08536,43.180317,220.74681,74.308105,370,153,8
333.6834,43.867752,220.42714,73.5564,370,154,8
334.10028,43.44873,220.22424,73.25983,370,153,8
332.62677,43.54751,222.44504,74.433136,369,154,8
333.62378,42.91375,223.044,73.323425,370,154,8
333.1122,43.00097,222.03473,74.062195,370,154,8
333.7094,43.466057,220.58487,72.99014,370,153,8
333.71332,42.90959,222.50508,73.56067,370,154,8
332.5018,42.929592,222.55228,75.030426,370,154,8
332.6756,43.781303,221.57123,74.36508,369,154,8
331.4198,43.29845,223.91429,75.92261,369,155,8
333.4692,43.17012,223.70662,73.3678,370,155,8
332.58438,42.303886,224.73798,74.2767,369,154,8
333.04965,43.0778,222.04967,73.69733,369,154,8
333.1958,42.64173,224.94397,73.00256,369,155,8
332.3558,42.08854,224.11362,73.90912,369,154,8
332.01035,42.528362,222.90019,74.50195,369,153,8
332.07568,42.912964,222.23538,74.31677,369,154,8
332.5023,42.778057,222.43779,73.92752,369,153,8
331.81445,42.981655,221.18768,74.91388,369,153,8
332.51062,41.782867,224.06897,73.743286,369,153,8
332.36218,42.42929,221.3359,73.97385,369,153,8
331.8332,43.043804,220.53798,74.59259,369,153,8
332.36774,42.872936,218.00038,73.84955,369,151,8
331.37805,43.729282,217.94849,74.71973,368,152,8
331.81982,43.964725,222.0528,74.31662,368,154,8
331.52576,43.473816,220.86194,74.40335,368,153,8
331.26846,43.642014,220.5583,74.671906,368,153,8
331.21182,43.92683,219.92616,74.97177,368,153,8
331.32443,43.3095,220.15363,75.12686,368,153,8
331.58667,43.768845,221.4582,74.83472,369,154,8
331.30145,43.878273,220.50189,74.85132,368,154,8
331.19205,43.54359,223.7242,74.53128,368,155,8
331.912,43.004757,220.50705,73.864655,368,153,8
331.55194,43.386734,219.64037,74.85095,368,153,8
330.35767,43.49399,221.92273,75.99716,368,154,8
332.30533,42.533947,220.5996,74.01822,369,152,8
331.90564,42.86692,222.88531,73.91547,368,154,8
332.22702,42.868275,221.03258,74.188354,369,153,8
332.30777,43.755028,218.5253,73.932465,369,153,8
