x,y,h,w,c_x,c_y,class
319.79233,41.655743,236.72435,87.93411,363,160,7
320.3221,41.551258,236.4778,87.34204,363,159,7
319.58014,40.835453,239.46121,88.628784,363,160,7
319.90005,42.555534,237.70883,87.674774,363,161,7
320.15134,40.891083,240.591,87.47229,363,161,7
319.56848,41.2509,239.76564,87.9538,363,161,7
320.12894,41.79307,239.51985,87.4306,363,161,7
319.2676,40.54463,240.5623,88.64047,363,160,7
320.19464,41.01368,242.35077,87.1987,363,162,7
319.85394,40.99511,243.04474,87.651886,363,162,7
319.75162,40.482475,243.62393,87.64926,363,162,7
319.64368,40.3638,242.71683,87.599396,363,161,7
320.31192,40.30479,241.96635,86.67084,363,161,7
319.98227,40.435722,244.05353,86.96384,363,162,7
319.97488,41.14205,242.66647,87.4621,363,162,7
319.78458,40.77607,243.65298,87.33615,363,162,7
319.73935,41.13713,244.57076,87.31387,363,163,7
319.65442,39.67113,243.08006,87.97485,363,161,7
319.62753,39.544502,244.02649,87.97058,363,161,7
319.73462,40.486008,242.58656,87.798615,363,161,7
319.96045,40.727406,241.6122,87.64639,363,161,7
320.27094,40.560192,241.91444,87.15442,363,161,7
320.121,40.191437,245.70462,86.8049,363,163,7
319.61584,40.460472,244.75763,87.92444,363,162,7
320.1825,40.714344,243.59608,87.4628,363,162,7
319.6911,40.59969,243.05544,87.68353,363,162,7
320.1146,39.55629,243.78963,87.87036,364,161,7
320.1686,40.160465,245.72916,87.31976,363,163,7
320.38208,40.046913,245.10065,87.16058,363,162,7
320.79572,40.7565,245.16089,86.57977,364,163,7
320.77817,40.52164,244.6047,87.29645,364,162,7
320.52747,40.99953,243.79958,86.9332,363,162,7
320.32635,40.886665,243.73358,86.95163,363,162,7
320.76746,40.46097,246.29071,86.51593,364,163,7
320.6459,39.903904,243.83896,86.99808,364,161,7
320.10266,40.81039,243.09476,87.512146,363,162,7
321.24048,41.347473,245.45856,86.00589,364,164,7
321.44986,40.570236,243.83656,86.27896,364,162,7
320.9763,40.180466,246.12505,86.18848,364,163,7
321.0654,40.125347,245.31444,86.31308,364,162,7
321.4084,40.393967,245.91667,86.02908,364,163,7
321.32928,39.469357,246.75604,86.394775,364,162,7
320.58386,40.45103,245.64284,86.93591,364,163,7
320.99384,40.006355,247.48834,87.17871,364,163,7
321.50708,40.341583,246.1755,86.28775,364,163,7
320.88882,39.790665,246.05815,86.68967,364,162,7
320.8676,40.410706,245.10309,86.726074,364,162,7
321.23993,40.052547,244.54605,86.8645,364,162,7
321.41565,39.21956,247.67354,86.308075,364,163,7
320.7585,40.140755,243.99683,86.98474,364,162,7
320.99725,39.974655,247.29192,86.89169,364,163,7
321.3156,40.16802,244.89238,86.56055,364,162,7
321.37085,39.753784,247.07086,86.75632,364,163,7
321.66602,39.343903,248.16556,86.12921,364,163,7
321.56836,39.666996,250.39099,86.365295,364,164,7
321.5773,40.279053,246.93161,86.32355,364,163,7
321.35928,39.831333,248.25854,86.55844,364,163,7
321.30927,40.112457,247.9913,86.77438,364,164,7
321.44107,40.68243,245.91354,86.49472,364,163,7
321.08746,39.381138,247.98407,87.00867,364,163,7
321.14505,38.99643,247.31891,86.64102,364,162,7
321.4299,40.422394,248.36438,86.42154,364,164,7
321.19644,40.264248,248.67578,86.437256,364,164,7
321.42422,40.150352,248.20132,86.15845,364,164,7
320.8139,39.74193,247.34874,87.243164,364,163,7
322.44604,41.894238,233.37944,86.29382,365,158,7
320.90195,40.309883,247.00342,87.41092,364,163,7
