x,y,h,w,c_x,c_y,class
304.43195,34.884068,294.76614,108.26178,358,182,6
304.39624,34.27262,298.3257,110.03735,359,183,6
304.7375,35.809708,297.67065,108.715576,359,184,6
304.63046,34.874954,295.71057,109.51724,359,182,6
306.4161,37.32326,292.9792,110.133026,361,183,6
305.31033,33.81227,296.3938,112.13776,361,182,6
305.6406,33.598766,298.88263,111.99338,361,183,6
305.84903,35.80732,298.21317,112.66449,362,184,6
309.25327,36.998863,298.25662,108.427826,363,186,6
308.334,35.098885,297.40692,112.10666,364,183,6
309.32294,36.9756,296.96527,110.70682,364,185,6
307.5596,35.169296,298.74,114.40628,364,184,6
307.28604,36.319355,299.9838,115.78528,365,186,6
307.87878,36.940468,301.3022,115.62488,365,187,6
306.49734,35.216316,302.7215,116.63788,364,186,6
308.99054,33.23693,307.79245,115.26776,366,187,6
307.6331,34.152416,309.00763,117.554596,366,188,6
310.38785,33.830597,310.68024,115.46744,368,189,6
310.86462,33.705654,313.1979,116.35339,369,190,6
312.9666,33.508102,307.8329,113.839355,369,187,6
311.7275,32.305214,311.055,115.74567,369,187,6
312.4257,32.517616,306.71024,115.9133,370,185,6
313.4645,34.497814,309.72165,113.19968,370,189,6
314.41663,34.801483,311.2315,110.79306,369,190,6
314.86624,34.842712,306.8017,110.30356,370,188,6
314.58734,36.232754,304.89993,111.09152,370,188,6
312.71664,35.4583,301.78546,113.640594,369,186,6
307.74432,34.80021,306.36472,117.65225,366,187,6
307.62762,33.637062,299.57376,118.85681,367,183,6
304.16797,34.67308,301.0287,122.501495,365,185,6
301.7223,34.51242,299.58337,124.56265,364,184,6
305.50995,37.11233,298.8003,119.69916,365,186,6
306.22412,35.66823,299.0799,116.22705,364,185,6
305.09183,37.340668,302.5986,118.44333,364,188,6
306.39737,38.164917,305.56342,118.00354,365,190,6
305.3104,38.888725,305.33514,115.31152,362,191,6
302.66953,38.1933,304.18817,117.94699,361,190,6
302.66638,35.96994,302.78427,116.10483,360,187,6
302.40292,35.87318,302.28876,113.73984,359,187,6
303.09885,35.54901,303.00955,112.621735,359,187,6
301.9084,38.28562,298.6455,111.50015,357,187,6
300.55865,39.026726,298.66214,113.75729,357,188,6
295.7165,36.615757,304.05792,114.92926,353,188,6
294.6786,36.874393,303.07138,114.78235,352,188,6
295.26477,37.785515,300.05075,110.68344,350,187,6
296.82156,39.088097,298.09653,103.786804,348,188,6
298.77417,41.39036,299.0984,98.24451,347,190,6
291.7731,37.628258,289.4606,85.398346,334,182,6
301.76053,35.692833,301.78458,92.85159,348,186,6
300.01804,36.007446,302.10464,97.15225,348,187,6
298.14496,34.245728,306.40732,102.65628,349,187,6
297.2989,35.853096,306.37628,106.19614,350,189,6
296.26553,33.302567,306.08392,109.51004,351,186,6
296.50443,32.31381,305.66718,110.51001,351,185,6
299.34048,30.795837,306.38406,109.289734,353,183,6
301.45715,30.56255,308.29544,109.24957,356,184,6
303.00085,31.230268,309.4124,110.58002,358,185,6
302.06528,30.815376,306.2196,114.51395,359,183,6
303.59128,29.988613,303.8443,114.897156,361,181,6
303.7418,32.82718,303.6526,115.71301,361,184,6
303.89594,32.092323,305.62842,117.859436,362,184,6
304.07416,34.764004,297.88904,117.8602,363,183,6
302.2132,36.42852,298.32767,120.780334,362,185,6
303.7749,34.811783,301.31744,119.934326,363,185,6
303.95523,35.348984,297.6607,119.632355,363,184,6
304.3531,35.40583,300.26978,118.54196,363,185,6
303.6858,35.321903,297.37,119.86508,363,184,6
306.56064,34.91661,298.94086,116.749146,364,184,6
303.8436,34.18067,294.9133,118.42062,363,181,6
306.39816,35.590652,296.16656,114.63211,363,183,6
309.14014,38.12675,297.27017,111.763214,365,186,6
309.11197,36.910557,298.999,110.14664,364,186,6
310.13998,37.803413,302.86978,109.69263,364,189,6
310.5426,37.441635,305.5453,109.89426,365,190,6
309.13428,37.425354,302.5102,110.577576,364,188,6
309.00616,36.786087,303.274,111.366394,364,188,6
306.71,34.89292,302.80664,112.44351,362,186,6
305.78088,34.32006,303.8654,113.56976,362,186,6
303.8869,34.77911,304.9046,115.324036,361,187,6
304.57333,33.88697,303.5857,115.85895,362,185,6
303.7902,33.21745,304.548,114.67563,361,185,6
302.8995,33.396523,307.7665,114.922516,360,187,6
302.67938,32.53441,305.61658,113.66705,359,185,6
299.96988,33.677986,306.1811,119.19409,359,186,6
300.51184,33.203888,303.03595,115.08234,358,184,6
299.98904,33.72315,302.60675,117.11301,358,185,6
300.45786,33.658134,301.34003,114.585846,357,184,6
299.34598,34.55183,301.67947,113.8259,356,185,6
299.32645,35.363747,300.76755,112.49997,355,185,6
299.98126,33.297417,301.07248,112.32706,356,183,6
298.38684,34.321648,301.0406,113.42804,355,184,6
295.49924,33.164604,304.58377,112.53232,351,185,6
295.81415,34.52189,301.53165,110.76773,351,185,6
295.52603,36.972115,299.90945,109.97208,350,186,6
295.5633,39.010994,296.97498,108.38339,349,187,6
296.66516,37.554604,295.43942,106.61554,349,185,6
295.677,37.430435,296.41656,108.77002,350,185,6
295.8637,36.44085,299.059,106.65341,349,185,6
294.96246,36.10369,299.46048,107.79755,348,185,6
296.2647,36.42158,297.54514,104.6633,348,185,6
295.8113,36.382786,297.40817,105.68695,348,185,6
296.0235,35.625156,299.85565,105.648315,348,185,6
295.82947,35.03766,299.53693,105.23523,348,184,6
294.72467,35.165478,301.30765,107.83148,348,185,6
295.05145,35.677902,297.89673,107.47095,348,184,6
296.43353,35.301704,300.2309,104.07477,348,185,6
295.3821,35.41586,300.67545,106.47916,348,185,6
295.9775,35.200394,299.80536,106.41391,349,185,6
295.5993,35.37509,299.17963,106.753296,348,184,6
296.1422,37.10808,296.9522,104.607605,348,185,6
295.80563,37.95835,297.35342,105.801575,348,186,6
296.3671,39.171597,295.31284,104.2048,348,186,6
295.72504,38.937363,295.86584,105.48657,348,186,6
295.9385,40.1224,295.26794,105.097015,348,187,6
297.00375,41.9774,291.58032,104.0462,349,187,6
297.0285,43.39528,290.4544,103.93347,348,188,6
297.93195,44.47406,288.2343,101.775665,348,188,6
297.742,45.59774,287.46536,101.90973,348,189,6
298.0873,45.48902,288.16354,101.670074,348,189,6
297.76703,45.700478,289.1644,101.74353,348,190,6
297.34317,44.927517,288.12085,102.17734,348,188,6
297.52213,45.420715,285.5388,103.745514,349,188,6
297.50958,44.588055,288.6613,102.9928,349,188,6
297.26703,44.21987,288.39682,103.11835,348,188,6
296.77277,44.314743,288.021,104.511566,349,188,6
297.41864,43.57704,288.77277,103.76245,349,187,6
296.93195,41.188847,292.662,104.16614,349,187,6
296.9158,40.690556,293.66614,103.04776,348,187,6
297.85538,40.269855,292.73373,102.25662,348,186,6
297.14105,40.18364,293.38123,102.64264,348,186,6
296.19586,39.09409,294.86716,104.524506,348,186,6
295.8669,37.93898,296.52216,105.50009,348,186,6
295.4823,36.341587,299.6584,105.17105,348,186,6
295.46783,37.180523,297.71683,105.79544,348,186,6
295.26712,37.30555,298.60162,105.95221,348,186,6
295.79623,37.77138,297.4213,105.5867,348,186,6
293.67062,36.0063,302.82697,108.81903,348,187,6
295.14444,36.707596,299.00873,107.20514,348,186,6
294.69244,37.00247,299.81403,107.97882,348,186,6
294.49176,36.871105,301.25388,108.55487,348,187,6
295.06168,37.514763,299.50513,107.795044,348,187,6
294.331,37.17436,300.23727,108.86914,348,187,6
294.66647,37.113747,300.25037,107.55823,348,187,6
294.21506,36.865097,300.2901,109.223785,348,187,6
293.96686,38.083405,298.74985,109.59732,348,187,6
294.80585,37.94789,299.88025,107.92456,348,187,6
294.02972,37.136063,300.28406,109.992676,349,187,6
295.04538,36.02905,299.4946,107.549164,348,185,6
293.6513,38.064896,299.47455,110.710754,349,187,6
294.73203,36.847084,299.08362,108.28946,348,186,6
294.66873,37.617973,299.33395,109.13086,349,187,6
294.55417,37.495995,300.4953,108.54129,348,187,6
294.7745,37.29435,300.37558,108.536316,349,187,6
293.6681,36.86518,302.34668,111.00165,349,188,6
294.1875,37.63826,299.57465,109.40988,348,187,6
293.68698,35.81287,301.55444,109.68338,348,186,6
294.13934,38.076424,297.53857,109.13513,348,186,6
293.48184,37.25365,301.01602,109.667816,348,187,6
293.6563,36.261604,300.88358,109.44504,348,186,6
293.83267,36.491203,301.48163,110.09958,348,187,6
294.24252,35.987534,300.88538,109.64496,349,186,6
294.2177,37.12426,299.8518,109.73825,349,187,6
294.77084,37.097656,297.784,107.51724,348,185,6
293.85492,36.946236,300.0511,108.9617,348,186,6
294.30344,37.199463,299.5103,108.3638,348,186,6
294.3227,36.761368,302.11908,109.33847,348,187,6
294.29065,37.3422,299.53983,108.74335,348,187,6
293.59225,35.860832,300.8702,109.31378,348,186,6
293.97922,35.29707,300.15195,108.754486,348,185,6
294.84387,36.712273,298.293,107.161316,348,185,6
294.68732,36.671806,297.3513,107.802765,348,185,6
293.83722,35.336308,302.01053,108.55444,348,186,6
294.80563,37.3322,298.62946,106.802704,348,186,6
294.78912,36.389866,299.22433,106.65839,348,186,6
294.43933,36.765976,299.20746,107.324036,348,186,6
294.87766,36.776047,299.97382,107.008026,348,186,6
295.43036,37.64972,296.571,105.819336,348,185,6
294.96356,37.387146,297.7307,106.19644,348,186,6
295.84738,36.863937,296.3827,105.635925,348,185,6
295.87555,38.46239,296.75293,105.70175,348,186,6
295.41357,36.72149,297.71515,105.946045,348,185,6
295.16357,37.71339,297.73584,106.110535,348,186,6
295.01505,36.652378,298.1827,106.62869,348,185,6
295.87613,36.78002,297.65964,105.87286,348,185,6
295.27972,36.382225,298.42566,106.44409,348,185,6
295.42487,37.042866,298.31824,106.08304,348,186,6
296.4334,37.077568,296.05457,105.10797,348,185,6
296.56146,37.270245,296.84277,103.87201,348,185,6
296.63812,38.44471,296.13635,103.859375,348,186,6
296.18164,36.897984,295.62088,105.4805,348,184,6
295.65762,37.75127,296.6567,105.364136,348,186,6
296.0908,37.41394,295.0906,104.3642,348,184,6
295.93835,37.522972,297.17578,104.558044,348,186,6
296.08966,36.564503,297.3817,104.74411,348,185,6
295.22595,36.385876,298.51352,105.10806,347,185,6
295.39966,37.127323,297.63577,106.24518,348,185,6
295.46167,34.953888,298.54803,105.444214,348,184,6
295.3983,36.383644,297.67203,104.84445,347,185,6
