x,y,h,w,c_x,c_y,class
227.90341,85.60568,385.56274,233.26596,344,278,2
226.14632,84.35011,391.75946,237.87361,345,280,2
224.13666,83.36911,393.1365,240.61905,344,279,2
224.90877,80.90474,394.10358,241.05254,345,277,2
225.60564,83.25232,389.08746,241.02223,346,277,2
225.71548,84.97446,388.5637,244.2836,347,279,2
223.06339,84.85678,388.34744,247.35242,346,279,2
221.94029,84.44089,389.24142,248.06697,345,279,2
224.74983,84.36078,391.71347,243.88695,346,280,2
224.51694,81.88457,393.2295,246.81339,347,278,2
227.45923,83.969864,391.41522,244.70251,349,279,2
226.72382,83.69076,390.8909,245.2771,349,279,2
226.02863,83.82232,389.19638,245.81662,348,278,2
225.9407,82.2961,390.75098,244.40979,348,277,2
227.01326,83.74553,391.89905,241.86314,347,279,2
229.35051,82.51834,391.7295,239.7274,349,278,2
227.2747,82.9508,391.5693,242.21748,348,278,2
227.40665,83.11257,389.3549,239.66037,347,277,2
228.71245,85.03791,388.48004,237.96577,347,279,2
226.2244,80.26098,389.03033,238.23978,345,274,2
224.46404,74.29928,395.62546,239.64766,344,272,2
223.71814,72.94015,397.48242,237.61118,342,271,2
222.70338,71.01424,396.03754,240.27855,342,269,2
223.65868,70.89621,399.2836,240.30348,343,270,2
220.45337,70.63814,398.98553,243.44678,342,270,2
220.5056,70.83811,401.97998,242.2126,341,271,2
218.42422,66.36458,406.75287,240.60242,338,269,2
218.54752,64.82473,409.02682,240.9188,339,269,2
215.09743,60.99256,413.4908,240.14952,335,267,2
215.50787,61.23213,411.34485,235.69513,333,266,2
213.75485,58.36866,416.8379,231.49353,329,266,2
213.36258,54.797386,423.51602,229.76724,328,266,2
214.96466,55.743126,417.55652,225.4841,327,264,2
215.00027,53.992237,415.3306,226.31955,328,261,2
214.64688,53.89469,414.38867,225.4592,327,261,2
215.81561,54.22653,416.9602,222.45898,327,262,2
214.97858,55.617985,413.34894,220.75165,325,262,2
214.97597,55.682602,414.49646,219.43047,324,262,2
215.8957,50.27062,414.24478,212.01591,321,257,2
214.30519,54.030846,416.14563,216.84593,322,262,2
213.43036,53.59942,413.81876,220.66095,323,260,2
211.76057,52.243954,420.68805,223.67445,323,262,2
212.03781,51.65703,420.92157,227.04398,325,262,2
212.44872,52.010162,423.56335,226.67314,325,263,2
213.59267,53.661446,421.82068,224.18153,325,264,2
212.25462,53.508797,419.54544,226.05852,325,263,2
213.07327,54.396713,418.29883,224.31625,325,263,2
212.3757,55.21208,418.2928,224.59161,324,264,2
213.53381,55.04169,417.52496,223.83664,325,263,2
212.71178,49.796936,423.31976,221.23634,323,261,2
213.68074,50.317642,422.71454,219.73943,323,261,2
215.96764,48.902134,420.2642,215.89296,323,259,2
215.1519,51.081234,421.66846,219.73457,325,261,2
215.8118,47.661266,420.77145,215.31094,323,258,2
214.18658,47.677017,422.5398,218.8352,323,258,2
212.9808,47.31447,422.0218,222.59787,324,258,2
213.59383,48.554764,420.93243,221.06596,324,259,2
211.97327,46.38256,425.7785,221.85065,322,259,2
212.71729,45.337288,426.91086,220.09912,322,258,2
212.99864,42.492958,430.1882,220.13582,323,257,2
212.71248,38.385357,432.48062,216.16075,320,254,2
211.86021,34.23716,438.03632,221.46858,322,253,2
214.02571,34.414043,430.51508,215.25285,321,249,2
210.83469,35.88737,426.0965,219.03955,320,248,2
211.9443,35.641037,427.19464,219.12827,321,249,2
210.85538,35.39659,432.34906,220.4143,321,251,2
212.78313,33.240208,435.10397,216.08656,320,250,2
214.71906,29.364353,438.98123,215.07709,322,248,2
218.863,28.262943,442.80942,210.69168,324,249,2
217.0448,27.697205,441.01135,212.51059,323,248,2
214.76068,27.263489,439.56323,215.11176,322,247,2
215.62991,27.827267,438.0335,213.85562,322,246,2
215.56068,28.77388,438.39758,213.73625,322,247,2
216.60033,26.650013,444.99005,212.90239,323,249,2
216.87338,27.149591,444.16522,212.14554,322,249,2
216.43393,29.272356,437.0154,213.89175,323,247,2
218.77165,29.007883,435.4467,210.49068,324,246,2
219.38663,31.025019,435.06985,210.11313,324,248,2
220.18623,31.108402,431.31754,208.85802,324,246,2
221.21925,31.944637,437.39026,208.71721,325,250,2
218.35608,31.940947,431.34274,211.00992,323,247,2
217.56134,33.198524,430.11874,212.18552,323,248,2
